prime,trace
18013,-254
18041,102
18043,56
18047,12
18049,-80
18059,256
18061,98
18077,213
18089,-48
18097,206
18119,201
18121,8
18127,144
18131,40
18133,-87
18143,-41
18149,222
18169,-138
18181,-227
18191,54
18199,268
18211,-86
18217,-2
18223,14
18229,153
18233,62
18251,138
18253,-111
18257,18
18269,126
18287,240
18289,254
18301,-150
18307,73
18311,-11
18313,-187
18329,27
18341,115
18353,-238
18367,232
18371,106
18379,-191
18397,-242
18401,-204
18413,176
18427,-185
18433,31
18439,-180
18443,220
18451,76
18457,-204
18461,21
18481,-62
18493,182
18503,-39
18517,140
18521,-120
18523,-16
18539,-155
18541,36
18553,187
18583,-8
18587,12
18593,109
18617,15
18637,23
18661,262
18671,100
18679,36
18691,4
18701,26
18713,-134
18719,6
18731,39
18743,210
18749,-18
18757,-182
18773,-46
18787,-72
18793,-239
18797,101
18803,42
18839,16
18859,-23
18869,12
18899,-86
18911,145
18913,-148
18917,134
18919,-216
18947,-35
18959,-31
18973,-250
18979,-178
19001,-110
19009,-101
19013,-228
19031,45
19037,-175
19051,250
19069,12
19073,192
19079,146
19081,-3
19087,-94
19121,-256
19139,-165
19141,145
19157,-42
19163,117
19181,-90
19183,-185
19207,-140
19211,184
19213,-54
19219,130
19231,-14
19237,-46
19249,130
19259,34
19267,-119
19273,58
19289,-134
19301,222
19309,-253
19319,-216
19333,245
19373,207
19379,34
19381,113
19387,173
19391,-133
19403,-96
19417,-140
19421,240
19423,-178
19427,198
19429,-128
19433,173
19441,-130
19447,-10
19457,185
19463,5
19469,150
19471,214
19477,90
19483,154
19489,80
19501,-152
19507,-112
19531,165
19541,-58
19543,69
19553,66
19559,154
19571,268
19577,-227
19583,-179
19597,-122
19603,172
19609,-2
19661,-229
19681,242
19687,-6
19697,102
19699,-265
19709,-162
19717,91
19727,-239
19739,125
19751,-60
19753,-42
19759,-165
19763,-165
19777,149
19793,-67
19801,172
19813,-258
19819,41
19841,226
19843,196
19853,240
19861,26
19867,97
19889,-258
19891,-29
19913,125
19919,-99
19927,162
19937,168
19949,106
19961,278
19963,-62
19973,54
19979,-143
19991,-144
19993,-124
19997,-62
20011,-176
20021,-40
20023,-213
20029,-146
20047,-159
20051,-150
20063,30
20071,8
20089,104
20101,159
20107,-128
20113,-86
20117,-147
20123,-182
20129,-109
20143,240
20147,-71
20149,50
20161,161
20173,2
20177,176
20183,112
20201,-210
20219,-101
20231,120
20233,26
20249,192
20261,-202
20269,-169
20287,193
20297,-107
20323,160
20327,-219
20333,-156
20341,-54
20347,188
20353,-147
20357,-93
20359,174
20369,98
20389,58
20393,-186
20399,-85
20407,56
20411,-140
20431,-176
20441,35
20443,-222
20477,70
20479,36
20483,206
20507,-42
20509,-254
20521,199
20533,178
20543,-8
20549,147
20551,-128
20563,-84
20593,239
20599,-90
20611,69
20627,122
20639,122
20641,-17
20663,-184
20681,-19
20693,34
20707,-62
20717,1
20719,155
20731,-129
20743,26
20747,-172
20749,100
20753,-96
20759,15
20771,76
20773,114
20789,162
20807,38
20809,94
20849,-107
20857,-144
20873,-63
20879,272
20887,-60
20897,252
20899,-128
20903,-90
20921,-171
20929,14
20939,40
20947,23
20959,-24
20963,172
20981,-273
20983,12
21001,-90
21011,-229
21013,199
21017,243
21019,-224
21023,147
21031,253
21059,18
21061,2
21067,-46
21089,78
21101,-221
21107,72
21121,80
21139,40
21143,-221
21149,-185
21157,-92
21163,109
21169,-32
21179,153
21187,29
21191,126
21193,-89
21211,148
21221,-72
21227,-43
21247,52
21269,-48
21277,-88
21283,129
21313,98
21317,-281
21319,-37
21323,212
21341,46
21347,82
21377,-142
21379,-169
21383,-258
21391,-164
21397,-98
21401,27
21407,-42
21419,25
21433,-248
21467,252
21481,230
21487,-236
21491,-132
21493,-206
21499,-4
21503,84
21517,253
21521,72
21523,184
21529,130
21557,-210
21559,216
21563,141
21569,150
21577,98
21587,60
21589,106
21599,4
21601,155
21611,-211
21613,181
21617,-168
21647,232
21649,-134
21661,-228
21673,9
21683,198
21701,-238
21713,12
21727,70
21737,216
21739,164
21751,-80
21757,-18
21767,-119
21773,-199
21787,136
21799,-116
21803,27
21817,42
21821,-250
21839,195
21841,48
21851,-165
21859,-134
21863,165
21871,-200
21881,-61
21893,-258
21911,-8
21929,-88
21937,-138
21943,221
21961,290
21977,271
21991,28
21997,-175
22003,-98
22013,-186
22027,32
22031,-24
22037,-202
22039,190
22051,164
22063,-42
22067,-177
22073,-49
22079,176
22091,22
22093,146
22109,-30
22111,-80
22123,-26
22129,-127
22133,-286
22147,138
22153,259
22157,66
22159,144
22171,38
22189,-50
22193,-146
22229,90
22247,-109
22259,-152
22271,-72
22273,-115
22277,282
22279,77
22283,112
22291,30
22303,204
22307,-78
22343,-138
22349,-185
22367,52
22369,-177
22381,63
22391,-216
22397,202
22409,-162
22433,-185
22441,253
22447,36
22453,22
22469,-46
22481,259
22483,109
22501,-250
22511,132
22531,-28
22541,-42
22543,-97
22549,-129
22567,100
22571,227
22573,-181
22613,268
22619,-170
22621,-75
22637,-4
22639,81
22643,201
22651,-56
22669,160
22679,80
22691,147
22697,44
22699,-56
22709,-18
22717,-116
22721,-29
22727,-70
22739,-12
22741,245
22751,258
22769,-74
22777,26
22783,168
22787,220
22807,113
22811,-181
22817,-32
22853,-156
22859,-260
22861,-34
22871,-280
22877,166
22901,24
22907,-53
22921,-54
22937,-6
22943,-160
22961,-216
22963,-220
22973,16
22993,137
23003,-192
23011,96
23017,-218
23021,12
23027,47
23029,49
23039,114
23041,-266
